category,url
janitorial,https://of1uat.stanford.edu/apex/f?p=108:1:16004289925243
plumbing,"https://ofweb.stanford.edu/apex/f?p=108:1:6160773674234:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:BUILDING_MAINT,PLUBMING,Y,PTA&cs=31XySwpSdW2-9S1exe9b1HH9XjMpunU53OsOLJGbaDJXz7aAGGhSV8AF6p3pJuTOB9svBA-NwXy9aWddyppAPxQ"
bio,https://of1uat.stanford.edu/apex/f?p=108:1:4500772975845
Carpentry,"https://of1uat.stanford.edu/apex/f?p=108:1:15171694057651:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:BUILDING_MAINT,CARPENTRY,Y,PTA&cs=3Yz-itJGlGkyDE2Km9pT_pr15Y4v8oqsrcY4rwI7aAbiuUQehK7H5tNp7xp1jia77sFWf7e0SqpEdg-0Z6RgPqA"
electrical,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:BUILDING_MAINT,ELECTRICAL,Y,PTA&cs=3JvnhG2atXnqI3SblADanmUn0AXUYPuGHNzjNvF--fQBZmOXQ73Cp4xZERUII936bK6DV1w7uS5z8XaHIcC0wBg"
keys,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG:KEY_LOCK_READ,KEYS_LOCKS_FAC,N&cs=3URQevSFbQc40CHowCDFQoErHQ-sLjgpqV9dHTkHpWFmoShKNgJSVs2UKIKGVCx847hiI3BadF2zBPcmn4trP0A"
fire system,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG:BUILDING_MAINT,FIRE_BLDG,N&cs=3VYtMACKxC3ywEfRMHM41Pfxa8OEVeNnRXIJW5pT7jS1NU0A4IlWk_ejzIrxRuqVABDP2EY4oYQX6tyqM8Y8n5A"
space & planning,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG:PROJECT,PRJ_PPMH,N&cs=3aySmOdwD4LUMNhKui6C1AaIuoUZuau9wXxNC90zOzQXJGuR1LIwyzU99UoUFQwkTgip-rxHDQk6Wzi1WuyQtwQ"
hvac,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:BUILDING_MAINT,HVAC,Y,PTA&cs=388hCzdt8QpYo6y7Mqxr2K0qA6aAbzCh4pNVF5xtYNh64sGuOPn1lyZxBSOa0PvXP5GT4RQ0VDPxLGZaZ0YBdMg"
pest control,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG:CLEANING_LAND_PEST,PEST_CONTROL,N&cs=3w5Gbo3J1Rztjgw8AoJKLovmRvfjGjTsHylFe6LYzvw595JcidvM2oC0nTgHanQ6OO83usDE_l-LJyFbyThnISQ"
new sign,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:SIGNAGE_PROJECT,SIGNAGE_NEW,Y,PTA&cs=3Kx5p_xbTQ1L9ZxTCbvMib2oo9miD2xX8SA2b11QZ0Gk0aCQ7KD9BjJd1y3Am1wrirmHgZ0FsBiGHb-CS-SfrFg"
move,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:BUILDING_MAINT,SMALL_MOVE_REQ,Y,PTA&cs=3WhRUUDb7oDWb6ZJL0Rl52ABzll1jX400F0GU77p-WHKSO5tAE7od5vvCXY4lTgpMEIFVb8_8y3BHGVXfdZYaPA"
lab,"https://of1uat.stanford.edu/apex/f?p=%20108%20:14:15534987999374:::13,14:P14_LEVEL1,P14_HOME_FLAG:HELP_LAB_OWNED,H"
safety,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG,P1_DISP_PTA_FLAG:SAFETY_ASSIST,SAFETY_COMP,Y,PTA&cs=3jSqCFAczuq1GhkMLaR1Os1GreCkgz12Qt-DxemkY5rcIilz4MANnWU_dQY6Z7uhrDivAdRCd3HntnLHBs75bMw"
landscape,https://ofweb.stanford.edu/apex/f?p=108:1:4430308655722
existing sign,"https://of1uat.stanford.edu/apex/f?p=108:1:15534987999374:LEVEL2:NO:1:P1_LEVEL1,P1_LEVEL2,P1_PTA_FLAG:SIGNAGE_PROJECT,SIGNANGE_REPAIR,N&cs=3yC4b3pziaRjhD1EYL0j3LqHTj3gsWncJy9pPykBXEPTju7XbhBaTcgKFHwEERvTTzK72dXxprHz4ytyQoEASIw"
